simulationRe,simulation,Armaly_ReS,Armaly,Denham_ReS,Denham
50,2.04,34.04,2.48,47.87,2.78
150,3.50,47.87,3.05,100.00,5.11
200,4.48,81.92,4.36,148.94,6.99
250,5.30,141.49,6.73,200.00,8.68
300,6.12,164.89,7.97,200.00,8.68
,       ,234.04,9.55,      ,    
   ,   ,297.87,11.47,     ,     

 
 
 

 
 
 
 
 
 
 

